Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 4826 Sel Score: 0.66 CDE: 14.6642 p value: 1.128e-01 RTime: 32.002,,(no adduct),422.4803,4,22,42
Overall rank: 4119 Sel Score: 0.65 CDE: 15.2458 p value: 1.308e-01 RTime: 32.698,,(no adduct),425.2086,2,22,42
Overall rank: 4312 Sel Score: 0.64 CDE: 15.186 p value: 4.189e-02 RTime: 32.984,,(no adduct),434.4747,2,22,42
Overall rank: 4294 Sel Score: 0.63 CDE: 15.2141 p value: 1.256e-01 RTime: 32.078,,(no adduct),417.7276,4,22,42
Overall rank: 5284 Sel Score: 0.62 CDE: 14.3522 p value: 3.263e-02 RTime: 32.154,,(no adduct),451.2281,2,22,42
Overall rank: 5602 Sel Score: 0.6 CDE: 12.9515 p value: 1.034e-01 RTime: 32.289,,(no adduct),335.1928,5,22,42
Overall rank: 4390 Sel Score: 0.6 CDE: 15.2448 p value: 1.048e-01 RTime: 32.731,,(no adduct),414.484,4,22,42
Overall rank: 5224 Sel Score: 0.6 CDE: 14.5805 p value: 7.601e-02 RTime: 32.3,,(no adduct),460.2331,2,22,42
Overall rank: 3872 Sel Score: 0.73 CDE: 14.5775 p value: 4.699e-02 RTime: 33.137,,(no adduct),418.2136,2,23,43
Overall rank: 4063 Sel Score: 0.72 CDE: 14.4608 p value: 5.336e-02 RTime: 33.138,,(no adduct),398.4647,4,23,43
Overall rank: 4759 Sel Score: 0.69 CDE: 12.9452 p value: 7.501e-02 RTime: 33.263,,(no adduct),430.4676,2,23,43
Overall rank: 4468 Sel Score: 0.69 CDE: 14.4553 p value: 2.644e-02 RTime: 33.153,,(no adduct),401.7116,2,23,43
Overall rank: 4471 Sel Score: 0.69 CDE: 14.5298 p value: 1.231e-01 RTime: 33.016,,(no adduct),388.7276,2,23,43
Overall rank: 3923 Sel Score: 0.68 CDE: 15.1845 p value: 3.789e-02 RTime: 33.103,,(no adduct),457.9835,4,23,43
Overall rank: 3855 Sel Score: 0.68 CDE: 15.2191 p value: 7.545e-02 RTime: 33.475,,(no adduct),401.4633,2,23,43
Overall rank: 4423 Sel Score: 0.67 CDE: 14.8489 p value: 6.284e-02 RTime: 33.922,,(no adduct),404.4576,2,23,43
Overall rank: 4768 Sel Score: 0.66 CDE: 14.6904 p value: 4.517e-02 RTime: 33.104,,(no adduct),397.7144,4,23,43
Overall rank: 5408 Sel Score: 0.63 CDE: 13.9051 p value: 9.760e-02 RTime: 33.051,,(no adduct),436.4894,4,23,43
Overall rank: 3624 Sel Score: 0.76 CDE: 14.1721 p value: 2.541e-02 RTime: 34.08,,(no adduct),356.3966,5,24,44
Overall rank: 3606 Sel Score: 0.73 CDE: 14.8101 p value: 1.279e-01 RTime: 34.306,,(no adduct),361.8009,5,24,44
Overall rank: 3992 Sel Score: 0.72 CDE: 14.4957 p value: 1.059e-01 RTime: 34.934,,(no adduct),469.0007,2,24,44
Overall rank: 4115 Sel Score: 0.72 CDE: 14.2925 p value: 3.038e-02 RTime: 34.213,,(no adduct),392.9568,4,24,44
Overall rank: 3826 Sel Score: 0.71 CDE: 14.9348 p value: 7.174e-02 RTime: 34.036,,(no adduct),392.4572,2,24,44
Overall rank: 3672 Sel Score: 0.68 CDE: 15.2851 p value: 6.459e-02 RTime: 34.525,,(no adduct),435.7253,2,24,44
Overall rank: 3955 Sel Score: 0.68 CDE: 15.1294 p value: 1.111e-01 RTime: 34.341,,(no adduct),404.4775,4,24,44
Overall rank: 4695 Sel Score: 0.66 CDE: 14.7042 p value: 1.156e-01 RTime: 34.458,,(no adduct),436.4983,4,24,44
Overall rank: 5191 Sel Score: 0.66 CDE: 13.4625 p value: 8.027e-02 RTime: 34.463,,(no adduct),454.2452,2,24,44
Overall rank: 5093 Sel Score: 0.62 CDE: 14.6394 p value: 6.486e-02 RTime: 34.712,,(no adduct),450.2165,2,24,44
Overall rank: 3429 Sel Score: 0.74 CDE: 14.8106 p value: 8.167e-02 RTime: 35.384,,(no adduct),454.723,2,25,45
Overall rank: 3983 Sel Score: 0.73 CDE: 14.3707 p value: 5.772e-02 RTime: 35.16,,(no adduct),398.966,4,25,45
Overall rank: 3502 Sel Score: 0.72 CDE: 15.0427 p value: 4.746e-02 RTime: 35.899,,(no adduct),405.9532,4,25,45
Overall rank: 3801 Sel Score: 0.72 CDE: 14.8336 p value: 9.452e-02 RTime: 35.806,,(no adduct),445.0072,4,25,45
Overall rank: 3338 Sel Score: 0.7 CDE: 15.3191 p value: 5.560e-03 RTime: 35.851,,(no adduct),401.7319,4,25,45
Overall rank: 4298 Sel Score: 0.7 CDE: 14.6569 p value: 4.341e-02 RTime: 35.267,,(no adduct),394.213,2,25,45
Overall rank: 4044 Sel Score: 0.69 CDE: 14.9152 p value: 7.219e-02 RTime: 35.521,,(no adduct),359.7955,5,25,45
Overall rank: 3941 Sel Score: 0.68 CDE: 15.184 p value: 6.414e-02 RTime: 35.449,,(no adduct),396.9671,2,25,45
Overall rank: 3985 Sel Score: 0.65 CDE: 15.3148 p value: 2.867e-02 RTime: 35.947,,(no adduct),434.4759,4,25,45
Overall rank: 3778 Sel Score: 0.6 CDE: 15.58 p value: 1.029e-01 RTime: 35.014,,(no adduct),400.2092,2,25,45
Overall rank: 3872 Sel Score: 0.74 CDE: 14.2221 p value: 1.011e-01 RTime: 36.319,,(no adduct),394.7122,4,26,46
Overall rank: 3915 Sel Score: 0.71 CDE: 14.8158 p value: 1.059e-01 RTime: 36.661,,(no adduct),388.7136,4,26,46
