Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 319 Sel Score: 0.59 CDE: 15.3842 p value: 7.600e-02 RTime: 52.584,,(no adduct),450.2236,2,42,62
Overall rank: 366 Sel Score: 0.63 CDE: 14.7408 p value: 1.098e-01 RTime: 55.422,,(no adduct),464.2382,4,45,65
Overall rank: 395 Sel Score: 0.6 CDE: 14.7593 p value: 9.217e-02 RTime: 55.287,,(no adduct),586.9619,3,45,65
Overall rank: 495 Sel Score: 0.59 CDE: 13.0106 p value: 5.970e-02 RTime: 56.111,,(no adduct),473.2427,4,46,66
Overall rank: 421 Sel Score: 0.59 CDE: 14.5866 p value: 1.247e-01 RTime: 56.93,,(no adduct),536.2713,3,46,66
Overall rank: 371 Sel Score: 0.61 CDE: 14.9105 p value: 2.229e-02 RTime: 59.184,,(no adduct),602.3044,3,49,69
Overall rank: 251 Sel Score: 0.64 CDE: 15.5513 p value: 2.675e-02 RTime: 60.684,,(no adduct),469.9802,2,50,70
Overall rank: 266 Sel Score: 0.67 CDE: 15.063 p value: 4.929e-02 RTime: 61.307,,(no adduct),606.964,3,51,71
Overall rank: 316 Sel Score: 0.61 CDE: 15.3664 p value: 9.390e-02 RTime: 63.57,,(no adduct),581.6162,3,53,73
Overall rank: 487 Sel Score: 0.57 CDE: 13.6264 p value: 1.293e-01 RTime: 64.146,,(no adduct),466.9897,2,54,74
Overall rank: 342 Sel Score: 0.65 CDE: 14.7302 p value: 1.328e-01 RTime: 71.28,,(no adduct),461.7329,2,61,81
Overall rank: 358 Sel Score: 0.68 CDE: 14.0084 p value: 4.151e-02 RTime: 81.68,,(no adduct),585.961,3,71,91
Overall rank: 76 Sel Score: 0.87 CDE: 15.3818 p value: 4.931e-02 RTime: 82.416,,(no adduct),544.2755,3,72,92
Overall rank: 325 Sel Score: 0.69 CDE: 14.31 p value: 9.019e-02 RTime: 85.141,,(no adduct),608.2929,3,75,95
Overall rank: 460 Sel Score: 0.63 CDE: 12.4253 p value: 5.966e-02 RTime: 89.368,,(no adduct),612.6441,3,79,99
Overall rank: 312 Sel Score: 0.72 CDE: 13.8707 p value: 1.284e-01 RTime: 91.012,,(no adduct),844.9139,2,81,101
Overall rank: 471 Sel Score: 0.61 CDE: 13.0865 p value: 4.147e-02 RTime: 93.183,,(no adduct),562.9564,3,83,103
Overall rank: 180 Sel Score: 0.68 CDE: 15.833 p value: 2.987e-02 RTime: 95.782,,(no adduct),466.7211,2,85,105
Overall rank: 130 Sel Score: 0.82 CDE: 15.0727 p value: 2.506e-02 RTime: 96.031,,(no adduct),475.2347,2,86,106
Overall rank: 181 Sel Score: 0.7 CDE: 15.3835 p value: 6.670e-02 RTime: 100.531,,(no adduct),532.7609,2,90,110
Overall rank: 361 Sel Score: 0.68 CDE: 13.975 p value: 1.117e-01 RTime: 113.194,,(no adduct),516.939,3,103,120
Overall rank: 260 Sel Score: 0.79 CDE: 13.6542 p value: 3.192e-03 RTime: 115.714,,(no adduct),561.2998,3,105,120
Overall rank: 301 Sel Score: 0.71 CDE: 14.2634 p value: 8.310e-03 RTime: 115.757,,(no adduct),560.9653,3,105,120
Overall rank: 443 Sel Score: 0.6 CDE: 14.2307 p value: 8.258e-02 RTime: 116.606,,(no adduct),575.6408,3,106,120
Overall rank: 493 Sel Score: 0.57 CDE: 13.2143 p value: 3.153e-02 RTime: 116.161,,(no adduct),730.4178,2,106,120
Overall rank: 219 Sel Score: 0.78 CDE: 14.369 p value: 2.052e-02 RTime: 117.442,,(no adduct),590.6503,3,107,120
Overall rank: 308 Sel Score: 0.7 CDE: 14.3088 p value: 1.759e-02 RTime: 117.468,,(no adduct),590.316,3,107,120
Overall rank: 511 Sel Score: 0.59 CDE: 9.0472 p value: 4.738e-03 RTime: 117.454,,(no adduct),774.443,2,107,120
Overall rank: 188 Sel Score: 0.87 CDE: 14.4042 p value: 3.540e-03 RTime: 118.255,,(no adduct),604.9918,3,108,120
