Compound,m/z,z,p value,specificity
"Sel Score: 0.87 RTime: 3366.751 Areas: [2732083.5671773204, 7872745.085803756, 4883525.458080527, 8565236.560809504, 17829256.590007327, 9084770.803974917]",409.7236,2.0,0.10506406667394125,WDR5
"Sel Score: 0.87 RTime: 3354.366 Areas: [3121046.15054973, 6423721.946540236, 5378348.937341688, 9775408.20921509, 1559009.9752940799, 16234160.806983706]",408.4638,2.0,0.0357549039720819,WDR5
"Sel Score: 0.87 RTime: 6954.917 Areas: [1890657.455479972, 4703151.393504109, 3258593.9616643987, 13220805.52531036, 8562443.780267045, 8735085.26540545]",704.8874,2.0,0.05078626517500741,WDR5
"Sel Score: 0.87 RTime: 2001.543 Areas: [2916890.911737089, 4436530.42022071, 5466341.180950594, 5057393.579916673, 6423201.709823761, 982362.7995688902]",399.7181,2.0,0.10779384113753805,WDR5
"Sel Score: 0.87 RTime: 2186.071 Areas: [2144986.203006536, 5813706.530341982, 3336307.8605394, 5632019.061741739, 9625841.248813517, 13591711.720852356]",406.9865,4.0,0.07062053100018492,WDR5
"Sel Score: 0.87 RTime: 2131.705 Areas: [5459727.50411664, 8158461.404971403, 5263687.453245668, 8451479.639728978, 9754809.991929805, 4958822.420861039]",405.2327,4.0,0.08382764145585465,WDR5
"Sel Score: 0.87 RTime: 1932.346 Areas: [5548407.400535201, 8200526.697326596, 12735969.908405177, 6511926.493632014, 2502384.2782161953, 3939165.621614626]",436.2217,4.0,0.044570172231117956,WDR5
"Sel Score: 0.87 RTime: 2105.826 Areas: [1560744.256734575, 3876995.895804498, 6373947.577309256, 8458933.489842393, 1913786.7587456245, 2870922.916537243]",386.2157,4.0,0.1154879329082528,WDR5
"Sel Score: 0.87 RTime: 3152.734 Areas: [5219501.843240905, 5894073.723995027, 7260934.4795656195, 8764763.718597213, 20301396.56059311, 6631338.353146071]",414.2066,2.0,0.07061207840148406,WDR5
"Sel Score: 0.87 RTime: 2906.108 Areas: [3590716.9402688323, 3515899.3858932215, 1722933.6765573437, 9991636.603061935, 11116412.796348212, 6481785.080423685]",429.7377,4.0,0.04202172129827257,WDR5
"Sel Score: 0.87 RTime: 2276.636 Areas: [5622909.505242247, 16202250.160166223, 9257953.328367744, 6257028.559647971, 9131367.881083231, 3021279.6462157834]",419.2241,4.0,0.044863169118049766,WDR5
"Sel Score: 0.86 RTime: 1695.217 Areas: [3210279.3976076534, 8640185.191859148, 5430064.858563395, 14497317.37476716, 18087142.96257613, 11433713.960057378]",337.3814,5.0,0.07715403720541336,WDR5
"Sel Score: 0.86 RTime: 2088.346 Areas: [18767109.737109914, 3327227.145428157, 7254961.580374567, 26176039.164889056, 12042107.406160546, 7017357.807811434]",407.4608,4.0,0.097915082192285,WDR5
"Sel Score: 0.86 RTime: 1658.796 Areas: [3075075.652998587, 9519478.14345271, 3862337.177375958, 9033611.784844592, 15303594.3101918, 31641858.261936367]",356.5894,5.0,0.03076175634840674,WDR5
"Sel Score: 0.86 RTime: 2813.442 Areas: [6894847.59787374, 5953909.053578407, 5843876.170771587, 7315281.612313274, 9552432.494501967, 9707634.627003668]",408.7157,4.0,0.032307884527188996,WDR5
"Sel Score: 0.86 RTime: 2561.888 Areas: [17268801.567169763, 5958930.001323589, 12805861.19127327, 25476216.697902307, 8943437.008239197, 9622327.650029588]",397.2149,4.0,0.0678868848306399,WDR5
"Sel Score: 0.86 RTime: 1216.016 Areas: [7488489.741345795, 4952929.138528213, 8983105.200303761, 5442374.961020806, 19550519.916759267, 8462572.974634128]",413.9709,2.0,0.03413695311246601,WDR5
"Sel Score: 0.86 RTime: 7526.284 Areas: [2474279.196747013, 6652761.398951322, 5843408.926635224, 22181934.064962927, 10330194.75057469, 3861224.915772029]",485.0257,4.0,0.023613384650431495,WDR5
"Sel Score: 0.86 RTime: 2039.792 Areas: [9717323.263827957, 4291124.674500957, 2371129.1939274566, 8195178.308880287, 5367998.906356508, 3624232.2700108234]",386.9543,4.0,0.05384695627523557,WDR5
"Sel Score: 0.86 RTime: 1171.257 Areas: [6466652.854064686, 6041947.172296869, 1635979.9594275015, 11572199.164057229, 11296982.728212053, 6392085.3284298]",344.4062,5.0,0.10164166561679475,WDR5
"Sel Score: 0.86 RTime: 2131.585 Areas: [2763119.232662714, 5585766.88133858, 3524384.72071181, 13846097.622943817, 7807720.0489219725, 5979040.361181597]",431.2613,4.0,0.09768456383199084,WDR5
"Sel Score: 0.86 RTime: 2362.898 Areas: [9792.0, 4235791.452448582, 4037522.4416655744, 14545852.880104054, 11212302.461021744, 11125390.329775238]",392.4582,2.0,0.030721320605054597,WDR5
"Sel Score: 0.86 RTime: 1231.656 Areas: [1204549.7888291052, 2456426.395581738, 3825133.1482701283, 17739235.582219902, 17214601.781571385, 3733557.4500458753]",358.5921,5.0,0.04756510470668492,WDR5
"Sel Score: 0.86 RTime: 2659.396 Areas: [11392937.969197987, 10681799.428047271, 16913570.95523667, 6376806.912987598, 3516717.905440745, 3838301.8214378846]",444.2164,2.0,0.06649567819238864,WDR5
