Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 2492 Sel Score: 0.85 CDE: 14.6776 p value: 1.079e-01 RTime: 32.704,,(no adduct),353.7955,5,22,42
Overall rank: 2672 Sel Score: 0.85 CDE: 14.425 p value: 3.294e-02 RTime: 45.494,,(no adduct),389.2228,4,35,55
Overall rank: 2292 Sel Score: 0.85 CDE: 14.8645 p value: 4.155e-03 RTime: 116.869,,(no adduct),484.9369,3,106,120
Overall rank: 1677 Sel Score: 0.85 CDE: 15.2712 p value: 4.227e-02 RTime: 54.536,,(no adduct),446.9702,2,44,64
Overall rank: 1912 Sel Score: 0.85 CDE: 15.1534 p value: 6.876e-02 RTime: 33.215,,(no adduct),416.2376,2,23,43
Overall rank: 2571 Sel Score: 0.85 CDE: 14.5742 p value: 6.294e-02 RTime: 65.935,,(no adduct),465.4714,4,55,75
Overall rank: 368 Sel Score: 0.85 CDE: 16.122 p value: 6.301e-02 RTime: 46.581,,(no adduct),412.4834,4,36,56
Overall rank: 2074 Sel Score: 0.85 CDE: 15.0493 p value: 1.174e-01 RTime: 35.136,,(no adduct),391.9717,2,25,45
Overall rank: 903 Sel Score: 0.85 CDE: 15.7081 p value: 8.428e-02 RTime: 33.963,,(no adduct),433.4848,4,23,43
Overall rank: 233 Sel Score: 0.85 CDE: 16.3626 p value: 9.106e-02 RTime: 38.436,,(no adduct),414.4689,4,28,48
Overall rank: 273 Sel Score: 0.85 CDE: 16.2683 p value: 1.212e-01 RTime: 61.104,,(no adduct),486.1094,2,51,71
Overall rank: 357 Sel Score: 0.85 CDE: 16.1375 p value: 9.693e-02 RTime: 47.517,,(no adduct),462.9783,4,37,57
Overall rank: 268 Sel Score: 0.85 CDE: 16.2754 p value: 1.142e-01 RTime: 38.339,,(no adduct),411.9818,2,28,48
Overall rank: 159 Sel Score: 0.85 CDE: 17.732 p value: 8.095e-02 RTime: 77.357,,(no adduct),648.344,2,67,87
Overall rank: 801 Sel Score: 0.85 CDE: 15.7737 p value: 6.414e-02 RTime: 52.176,,(no adduct),406.7106,4,42,62
Overall rank: 1396 Sel Score: 0.84 CDE: 15.4386 p value: 7.517e-02 RTime: 47.313,,(no adduct),401.7116,4,37,57
Overall rank: 1120 Sel Score: 0.84 CDE: 15.5846 p value: 9.711e-02 RTime: 34.572,,(no adduct),403.7177,2,24,44
Overall rank: 1396 Sel Score: 0.84 CDE: 15.4394 p value: 7.202e-02 RTime: 63.057,,(no adduct),414.9746,2,53,73
Overall rank: 193 Sel Score: 0.84 CDE: 16.5793 p value: 1.026e-01 RTime: 47.078,,(no adduct),422.235,4,37,57
Overall rank: 1232 Sel Score: 0.84 CDE: 15.5217 p value: 8.595e-02 RTime: 33.305,,(no adduct),412.4854,4,23,43
Overall rank: 2511 Sel Score: 0.84 CDE: 14.6815 p value: 3.805e-02 RTime: 46.099,,(no adduct),411.4825,2,36,56
Overall rank: 217 Sel Score: 0.84 CDE: 16.4474 p value: 5.142e-02 RTime: 44.215,,(no adduct),425.9913,4,34,54
Overall rank: 1314 Sel Score: 0.84 CDE: 15.4836 p value: 2.244e-03 RTime: 34.336,,(no adduct),412.7179,2,24,44
Overall rank: 859 Sel Score: 0.84 CDE: 15.7432 p value: 1.021e-01 RTime: 41.971,,(no adduct),400.4645,4,31,51
Overall rank: 428 Sel Score: 0.84 CDE: 16.0772 p value: 1.058e-01 RTime: 33.714,,(no adduct),432.2428,4,23,43
Overall rank: 2459 Sel Score: 0.84 CDE: 14.7327 p value: 3.390e-02 RTime: 60.163,,(no adduct),410.7407,2,50,70
Overall rank: 2202 Sel Score: 0.84 CDE: 14.9624 p value: 1.260e-01 RTime: 88.474,,(no adduct),627.6414,3,78,98
Overall rank: 834 Sel Score: 0.84 CDE: 15.7616 p value: 8.958e-02 RTime: 47.21,,(no adduct),400.9709,2,37,57
Overall rank: 1399 Sel Score: 0.84 CDE: 15.4414 p value: 1.244e-01 RTime: 43.014,,(no adduct),408.4914,4,33,53
Overall rank: 400 Sel Score: 0.84 CDE: 16.109 p value: 5.765e-02 RTime: 35.19,,(no adduct),415.2239,2,25,45
Overall rank: 267 Sel Score: 0.84 CDE: 16.3237 p value: 2.698e-02 RTime: 39.695,,(no adduct),398.2082,2,29,49
Overall rank: 453 Sel Score: 0.84 CDE: 16.0581 p value: 2.268e-02 RTime: 21.325,,(no adduct),355.4003,5,11,31
Overall rank: 366 Sel Score: 0.84 CDE: 16.1563 p value: 1.650e-02 RTime: 38.06,,(no adduct),415.976,4,28,48
Overall rank: 1069 Sel Score: 0.84 CDE: 15.6206 p value: 3.815e-02 RTime: 43.093,,(no adduct),398.4663,4,33,53
Overall rank: 662 Sel Score: 0.84 CDE: 15.8778 p value: 2.971e-02 RTime: 43.264,,(no adduct),409.221,4,33,53
Overall rank: 2360 Sel Score: 0.84 CDE: 14.8352 p value: 3.150e-02 RTime: 35.595,,(no adduct),365.9974,5,25,45
Overall rank: 1876 Sel Score: 0.84 CDE: 15.1906 p value: 2.774e-02 RTime: 45.127,,(no adduct),377.2106,4,35,55
Overall rank: 593 Sel Score: 0.84 CDE: 15.9271 p value: 5.277e-02 RTime: 20.505,,(no adduct),350.5908,5,10,30
Overall rank: 347 Sel Score: 0.84 CDE: 16.1883 p value: 3.763e-03 RTime: 44.655,,(no adduct),421.9791,2,34,54
Overall rank: 464 Sel Score: 0.84 CDE: 16.0557 p value: 1.277e-01 RTime: 36.268,,(no adduct),400.4729,2,26,46
Overall rank: 2071 Sel Score: 0.84 CDE: 15.0775 p value: 1.728e-02 RTime: 35.28,,(no adduct),409.7412,4,25,45
Overall rank: 1577 Sel Score: 0.84 CDE: 15.3533 p value: 1.815e-02 RTime: 28.636,,(no adduct),352.9939,5,18,38
Overall rank: 2360 Sel Score: 0.84 CDE: 14.8411 p value: 1.206e-01 RTime: 55.251,,(no adduct),411.226,4,45,65
Overall rank: 1519 Sel Score: 0.84 CDE: 15.384 p value: 1.031e-02 RTime: 54.668,,(no adduct),403.9779,2,44,64
Overall rank: 2705 Sel Score: 0.84 CDE: 14.449 p value: 2.799e-02 RTime: 63.269,,(no adduct),450.7407,2,53,73
Overall rank: 1238 Sel Score: 0.84 CDE: 15.5335 p value: 4.471e-02 RTime: 48.261,,(no adduct),422.7183,2,38,58
Overall rank: 528 Sel Score: 0.84 CDE: 15.9875 p value: 8.110e-02 RTime: 44.214,,(no adduct),410.4672,2,34,54
Overall rank: 2461 Sel Score: 0.84 CDE: 14.7516 p value: 1.231e-01 RTime: 41.207,,(no adduct),433.242,2,31,51
Overall rank: 613 Sel Score: 0.84 CDE: 15.9218 p value: 3.281e-02 RTime: 43.307,,(no adduct),400.9689,4,33,53
Overall rank: 388 Sel Score: 0.84 CDE: 16.1437 p value: 1.218e-01 RTime: 46.869,,(no adduct),483.6051,3,36,56
Overall rank: 1094 Sel Score: 0.84 CDE: 15.6165 p value: 1.290e-01 RTime: 36.538,,(no adduct),419.2171,2,26,46
Overall rank: 1391 Sel Score: 0.84 CDE: 15.4554 p value: 9.805e-02 RTime: 33.926,,(no adduct),416.9851,2,23,43
Overall rank: 884 Sel Score: 0.84 CDE: 15.7461 p value: 1.873e-02 RTime: 61.16,,(no adduct),485.943,2,51,71
Overall rank: 1158 Sel Score: 0.84 CDE: 15.5827 p value: 8.722e-02 RTime: 42.235,,(no adduct),411.7307,4,32,52
Overall rank: 2922 Sel Score: 0.84 CDE: 13.8652 p value: 8.595e-03 RTime: 57.201,,(no adduct),402.9704,4,47,67
Overall rank: 1535 Sel Score: 0.84 CDE: 15.3818 p value: 1.211e-01 RTime: 33.17,,(no adduct),412.9863,4,23,43
Overall rank: 2896 Sel Score: 0.84 CDE: 13.9911 p value: 1.039e-02 RTime: 31.261,,(no adduct),359.5937,5,21,41
Overall rank: 222 Sel Score: 0.84 CDE: 16.6436 p value: 5.082e-02 RTime: 47.219,,(no adduct),430.2392,4,37,57
Overall rank: 1052 Sel Score: 0.84 CDE: 15.6455 p value: 7.277e-02 RTime: 50.818,,(no adduct),400.2078,2,40,60
Overall rank: 2764 Sel Score: 0.84 CDE: 14.3454 p value: 2.518e-02 RTime: 36.022,,(no adduct),398.4672,2,26,46
