Compound,m/z,z,p value,specificity,areas
Sel Score: 0.78 RTime: 7031.422,554.199,2.0,0.04846580756961723,12ca5,"[3447764.7670151, 5992014.653206521, 6037896.854368525, 1383043.1062359, 1377555.665596353, 1622306.5978928253]"
Sel Score: 0.78 RTime: 7046.519,590.6503,3.0,0.02051505716103265,12ca5,"[1923875.126109352, 3120282.665455518, 2328685.277763184, 820677.6161939418, 962893.5217114103, 325392.5826416529]"
Sel Score: 0.78 RTime: 1490.799,439.5061,2.0,0.28302782127561815,Unclear,"[15329599.845628306, 4664722.502783374, 3274343.0214534467, 1875763.9531486456, 2018952.5717694617, 2772647.508784987]"
Sel Score: 0.78 RTime: 1649.489,444.5024,2.0,0.0466545547990517,12ca5,"[5326003.235110647, 3058926.221701548, 6026403.603345371, 767320.1871586774, 1336383.7192168068, 2033951.8458076837]"
Sel Score: 0.78 RTime: 1446.512,430.2547,2.0,0.19575425169197982,Unclear,"[14625166.254525987, 14574854.334655024, 2557810.6442799363, 5184946.77114265, 1542928.9740601582, 2458978.464438718]"
Sel Score: 0.78 RTime: 1315.003,461.7574,2.0,0.04710462639788361,12ca5,"[4669947.160669876, 9011901.272302132, 9000325.311257664, 2597048.3020683536, 851155.6191772915, 3121474.035798252]"
Sel Score: 0.77 RTime: 1405.692,430.0175,4.0,0.13297865526879885,12ca5,"[3091332.432626125, 917795.7963089655, 2273657.54990802, 558502.8325282024, 1025798.8765508969, 256380.45495155908]"
Sel Score: 0.77 RTime: 1304.851,463.2633,2.0,0.2739903296325007,Unclear,"[682780.040492101, 8379138.702979837, 4983035.395759483, 404073.64500293246, 935152.5546339008, 2815901.384128674]"
Sel Score: 0.77 RTime: 1437.445,402.2224,2.0,0.2505268741455975,Unclear,"[17118468.186372135, 14119486.323466672, 1402557.5288915755, 2755690.5212394763, 1928040.9512573527, 4982019.096312574]"
Sel Score: 0.77 RTime: 1441.416,425.7432,2.0,0.1643799797877688,Unclear,"[22592782.93095392, 19982357.631289855, 5165815.429770531, 801786.9778503648, 8418991.237346664, 4951132.118000408]"
Sel Score: 0.77 RTime: 1474.135,430.2436,4.0,0.19446861215327452,Unclear,"[19219192.365255635, 21122024.14274741, 4035188.8209928116, 4747790.471375379, 4501116.031551188, 3967875.5820727213]"
Sel Score: 0.77 RTime: 1572.149,461.0063,2.0,0.030261906673486896,12ca5,"[5364959.990955558, 3560897.8083982533, 6449641.53009903, 2387283.993564038, 617734.4837909165, 1574739.7191004022]"
Sel Score: 0.77 RTime: 1340.397,438.0054,4.0,0.023101755329254906,12ca5,"[13703908.56038929, 8102635.655854556, 10508881.497298837, 5313305.903212477, 1548792.7677949802, 2783847.2144983364]"
Sel Score: 0.77 RTime: 1334.063,431.5088,2.0,0.044504044931218574,12ca5,"[8927338.131950509, 9694565.07975049, 5641807.960669865, 2296614.2559782085, 2430351.478486021, 2536575.7564452216]"
