Compound,m/z,z,p value,specificity
"Sel Score: 0.71 RTime: 6945.399 Areas: [3459454.3329936913, 2971545.3934206646, 3402713.6367454724, 2585792.99855171, 2020239.9536580096, 1629175.3268657883]",560.9653,3.0,0.00831016504354684,12ca5
"Sel Score: 0.71 RTime: 1358.612 Areas: [8110027.745841139, 7694709.165152115, 5389379.677663935, 2976558.2202206906, 14555505.44765205, 4738306.773130899]",448.0061,4.0,0.08430010787892869,12ca5
"Sel Score: 0.71 RTime: 1502.99 Areas: [3073859.9200202744, 5452372.974315034, 5923473.87992691, 9096339.842337536, 3115594.784219767, 9133109.213661226]",433.2234,2.0,0.021052489052333694,12ca5
"Sel Score: 0.71 RTime: 2244.265 Areas: [3018880.630197659, 6619871.956889422, 4713325.754526992, 10205769.66239061, 6464663.381551147, 6894158.510004594]",458.9784,4.0,0.017363230022374204,12ca5
"Sel Score: 0.71 RTime: 1329.99 Areas: [7348721.161097299, 5696892.215852363, 3580887.0048216153, 6946176.900347982, 15614329.579886628, 10981061.107071625]",435.9941,4.0,0.09788548327210901,12ca5
"Sel Score: 0.7 RTime: 6031.89 Areas: [5428851.807259346, 4665910.663363232, 1739343.742026223, 16970984.710475612, 12390673.269137722, 10220617.643022243]",532.7609,2.0,0.06669542564122355,12ca5
"Sel Score: 0.7 RTime: 1410.771 Areas: [2463883.5409399867, 8759262.419817338, 2854162.4707805817, 8851611.322141863, 4455857.422002302, 3592989.016142443]",442.2513,4.0,0.07140572240076778,12ca5
"Sel Score: 0.7 RTime: 1368.701 Areas: [6602145.9364009155, 8228786.460132302, 7093750.327117678, 17983767.967526145, 20070495.17695314, 8063257.82656163]",420.2482,2.0,0.036354477125307566,12ca5
"Sel Score: 0.7 RTime: 1792.319 Areas: [4002517.8832330657, 5815046.957524704, 5709424.113800524, 20321055.442221485, 52948142.46675462, 7997334.666476609]",437.502,4.0,0.07813641628444414,12ca5
"Sel Score: 0.7 RTime: 1456.174 Areas: [16304454.552082133, 20378303.388859544, 11303264.203553597, 12625856.946033757, 22808510.2895123, 13882326.655926047]",437.0051,2.0,0.108256168977793,12ca5
"Sel Score: 0.7 RTime: 7048.106 Areas: [5304228.087525919, 6369815.910922543, 5926910.817097387, 4911705.210161609, 4603621.934376755, 3065751.974817274]",590.316,3.0,0.01759418872777213,12ca5
"Sel Score: 0.7 RTime: 1339.199 Areas: [8001619.727762314, 7402986.154587729, 6445933.580113018, 18206002.244805306, 10574490.109294387, 20297772.906196307]",434.7471,2.0,0.012714543307427054,12ca5
