Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.75 RTime: 22.044 Area: 11870012.733195418 All areas: [7649100.063108194, 14480345.788722448, 13480592.347755615, 4309409.39293878, 2224470.5118232914, 5224691.132424437] p-value: 0.04894837587278399 original RTs: [0, 1325.995496871432, 1334.3033563621389, 0, 0, 0]",,(no adduct),443.2559,2.0,12,32
"Sel Score: 0.75 RTime: 23.615 Area: 13097537.274001347 All areas: [14527502.996799873, 17157669.13486444, 7607439.690339726, 7417532.1026698705, 2094795.2627575165, 3538609.722297062] p-value: 0.07145614612539704 original RTs: [1444.806542306311, 0, 1402.4945428294184, 0, 0, 0]",,(no adduct),430.75,2.0,13,33
"Sel Score: 0.75 RTime: 22.247 Area: 12904722.356679589 All areas: [10500979.802057631, 15297498.635747502, 12915688.632233635, 4021665.4611974168, 1464419.0913135959, 7556740.39907607] p-value: 0.020917403076703266 original RTs: [0, 0, 0, 0, 0, 1291.6710365223066]",,(no adduct),448.7439,2.0,12,32
"Sel Score: 0.75 RTime: 23.696 Area: 13944829.697989563 All areas: [14884601.781087395, 15742490.0743266, 11207397.238554697, 3430856.955578727, 7532188.235093894, 3193742.713358042] p-value: 0.009586174801103568 original RTs: [1443.266505199499, 1367.1708472887644, 0, 1513.5045407239568, 1304.5175384577567, 1401.1039094063995]",,(no adduct),437.7475,4.0,13,33
"Sel Score: 0.75 RTime: 21.748 Area: 8823043.9832229 All areas: [7786718.882123799, 7045487.388635254, 11636925.678909644, 3558931.681630969, 3346302.044959201, 2054559.8579742236] p-value: 0.04344135488238312 original RTs: [0, 0, 1308.0294309837698, 0, 0, 0]",,(no adduct),438.5096,4.0,11,31
"Sel Score: 0.75 RTime: 23.421 Area: 11531780.74077785 All areas: [12444283.432879038, 11403302.194393937, 10747756.59506058, 5009051.166404457, 3227105.4432139993, 3504078.790172125] p-value: 0.0005414688608695574 original RTs: [1415.318573157825, 0, 0, 0, 0, 0]",,(no adduct),433.7564,4.0,13,33
"Sel Score: 0.75 RTime: 23.873 Area: 9615515.87192118 All areas: [13664601.863048134, 8780063.12594849, 6401882.626766912, 2951370.7680692077, 4193432.8832832538, 2709944.9684326425] p-value: 0.0915781038544313 original RTs: [1442.4356043633754, 0, 0, 0, 0, 0]",,(no adduct),451.499,2.0,13,33
"Sel Score: 0.74 RTime: 22.281 Area: 9800759.275231516 All areas: [8438523.258072533, 8374180.314423177, 12589574.25319884, 3991963.919144148, 2456572.75936136, 3692259.88948922] p-value: 0.03340120416468917 original RTs: [0, 1348.7796155199492, 0, 0, 0, 0]",,(no adduct),445.7592,4.0,12,32
"Sel Score: 0.74 RTime: 107.742 Area: 5662574.684970672 All areas: [6919321.9873717595, 7439146.964262264, 2629255.103277992, 906126.5853256226, 3746747.6207709596, 1206910.757295283] p-value: 0.12026024308689234 original RTs: [6478.639809540098, 0, 0, 0, 0, 0]",,(no adduct),1000.6792,2.0,97,117
"Sel Score: 0.74 RTime: 21.968 Area: 12822727.795182915 All areas: [12249400.969842121, 13828514.159684112, 12390268.256022513, 4040465.3522639214, 2416779.337420168, 6896591.868769958] p-value: 0.014241463751363979 original RTs: [0, 0, 0, 0, 0, 1274.8137465214643]",,(no adduct),442.253,2.0,11,31
"Sel Score: 0.74 RTime: 22.081 Area: 9767084.934896672 All areas: [6782580.857803698, 9026714.309515916, 13491959.637370402, 2717259.7346082046, 2672779.483627551, 4784380.387168781] p-value: 0.07049984930846641 original RTs: [0, 0, 1328.0409490781747, 0, 0, 0]",,(no adduct),446.4878,2.0,12,32
"Sel Score: 0.74 RTime: 23.799 Area: 12996102.784160644 All areas: [11392937.969197987, 10681799.428047271, 16913570.95523667, 6376806.912987598, 3516717.905440745, 3838301.8214378846] p-value: 0.034015525133144216 original RTs: [0, 0, 1380.11263686644, 1384.2749858666336, 1466.1719471795907, 0]",,(no adduct),438.4979,4.0,13,33
