Compound,m/z,z,p value,specificity,areas
Sel Score: 0.83 RTime: 1089.45,360.4682,4.0,0.11462659875656916,Unclear,"[2326767.3394509526, 1219299.2040935887, 848849.1201479061, 256237.68624088808, 500898.92280173866, 165458.59213519422]"
Sel Score: 0.83 RTime: 2490.06,546.9704,3.0,0.007850238421927938,12ca5,"[22487872.681867722, 21942903.421945438, 28412079.800202448, 5054387.313044806, 4139875.0702427006, 6099054.065999953]"
Sel Score: 0.83 RTime: 1599.487,434.4768,2.0,0.1324490294497364,Unclear,"[27768894.97819892, 10845380.046376329, 12043284.376455627, 4250303.939991424, 4241838.863966053, 2203111.751947686]"
Sel Score: 0.82 RTime: 2387.657,527.9511,3.0,0.018553329038785312,12ca5,"[31318185.893802825, 29403231.736872923, 19047972.405911237, 3519406.591017886, 4452354.087425042, 8997448.100591151]"
Sel Score: 0.82 RTime: 2449.752,528.9574,3.0,0.22134252571996185,Unclear,"[18850833.649490383, 15930944.133041317, 59703682.04373284, 8598179.739630127, 6281489.8149365075, 5322586.308921749]"
Sel Score: 0.82 RTime: 1714.707,426.7195,4.0,0.1617686875195578,Unclear,"[25526250.77910855, 20842490.29154443, 4808737.983288284, 6176164.605806053, 2771443.0690254937, 2057320.2233814045]"
Sel Score: 0.82 RTime: 1635.463,430.4759,4.0,0.09360307151272428,Unclear,"[29159295.66881978, 10648043.087838298, 21032670.482398953, 5844675.903664659, 2898982.4620933253, 4353287.069308781]"
Sel Score: 0.82 RTime: 3369.256,797.9147,2.0,0.02647939504426073,12ca5,"[14489596.755150458, 14531294.469426356, 9141735.125684649, 2577997.6945877997, 3455107.2297087135, 2185150.4974470637]"
Sel Score: 0.82 RTime: 3137.859,545.9615,3.0,0.030861808452702526,12ca5,"[35383798.27753743, 22879894.114703145, 41610892.83625146, 5612038.57000541, 5035459.414965608, 11089798.841767486]"
Sel Score: 0.82 RTime: 3876.459,547.6177,3.0,0.01356308110203576,12ca5,"[5617895.505093459, 8081771.804013649, 5243925.82115713, 2255096.979725611, 9917.0, 1871849.202444042]"
Sel Score: 0.82 RTime: 1643.136,390.2162,2.0,0.037613768197666396,12ca5,"[12169211.587086855, 9676011.364824306, 16851971.269203417, 3226610.5659542046, 3172626.4713891796, 2105045.070340589]"
Sel Score: 0.82 RTime: 2096.608,550.9496,3.0,0.027389502230693336,12ca5,"[29690949.045492426, 23745754.718000658, 18397137.518646672, 5691950.037166107, 5712068.182631485, 4396273.066242934]"
Sel Score: 0.82 RTime: 3132.624,584.2939,3.0,0.10107425831673347,Unclear,"[30653965.56818594, 9777071.869350133, 20760192.023020014, 2197979.6618304374, 10227.0, 11298101.237535626]"
Sel Score: 0.82 RTime: 1305.987,391.9606,2.0,0.022333583923955506,12ca5,"[10239703.652363718, 8711079.299016364, 5671974.407653595, 930803.7260220826, 1078429.4208174266, 3461749.368767852]"
Sel Score: 0.82 RTime: 1714.462,435.2551,4.0,0.368731003350819,Unclear,"[28763252.46577211, 7009116.711187141, 1351355.7074932, 2440662.319931648, 3343874.7482093885, 2486287.031455788]"
Sel Score: 0.82 RTime: 3380.974,465.2455,2.0,0.013141978757861177,12ca5,"[26298419.492063604, 17688435.20021327, 20377499.972953122, 6260038.104860518, 5208178.59650585, 2871778.186086501]"
Sel Score: 0.82 RTime: 1174.551,429.7402,4.0,0.12706065042949458,Unclear,"[9843927.18103317, 4567496.192030386, 3895565.084596694, 1565501.4046074387, 1552556.5522620748, 1002004.7497792323]"
Sel Score: 0.82 RTime: 2615.244,396.2273,2.0,0.01455318241355459,12ca5,"[49379064.58066671, 65567782.29548439, 44511557.380897515, 9536121.282131813, 16602829.549931126, 9841646.011975553]"
Sel Score: 0.82 RTime: 1678.129,447.247,2.0,0.2362323327645538,Unclear,"[33164737.22122978, 6486686.19746859, 12455582.960120164, 3294614.9329496194, 6322365.484141276, 2144899.0421935045]"
Sel Score: 0.82 RTime: 1109.162,426.2323,2.0,0.24674643304700847,Unclear,"[10927985.428640109, 2370581.088996679, 3507709.671071003, 1169956.7819577504, 804142.8580493915, 1834057.844528874]"
Sel Score: 0.82 RTime: 1202.122,424.7139,4.0,0.05487025351829236,Unclear,"[8042386.510350724, 5588051.466971285, 3748765.481057305, 590270.6839440535, 1153839.6173332003, 2200140.0378979025]"
Sel Score: 0.81 RTime: 2037.081,531.6102,3.0,0.07650013977914161,Unclear,"[5326671.78917725, 7314123.207410624, 12599564.14562288, 10089.0, 3856737.14807414, 1876791.8091489484]"
Sel Score: 0.81 RTime: 3869.153,791.9088,2.0,0.3386936476646143,Unclear,"[6609224.4237756, 27930217.59762484, 3082174.465402364, 2203574.2735392796, 3638401.439029885, 2753652.6475266744]"
Sel Score: 0.81 RTime: 2104.586,530.2926,3.0,0.09433752761501421,Unclear,"[9917551.038084252, 3497444.1379431514, 10418909.747910503, 3348297.118772443, 10188.0, 2099748.5034537856]"
Sel Score: 0.81 RTime: 3100.573,525.9493,3.0,0.1267740920371914,Unclear,"[47200216.28322341, 23842414.505147982, 17458549.117131036, 4950441.27372731, 7083070.165981083, 8265298.499912553]"
Sel Score: 0.81 RTime: 1437.058,404.7223,4.0,0.38339124261676494,Unclear,"[37540445.94781272, 4412358.840621328, 5216025.062091509, 2299631.2878258303, 5785812.113984969, 2828090.073123951]"
Sel Score: 0.81 RTime: 1931.806,451.9888,4.0,0.012318205134012767,12ca5,"[16559595.179732714, 17008538.42146168, 16199516.036991227, 6752691.947345099, 3145171.36006552, 1646650.4492395397]"
Sel Score: 0.81 RTime: 2922.667,448.2451,2.0,0.020141465032006752,12ca5,"[15504080.135535477, 23996949.091199495, 20285037.166380014, 10565833.774810439, 10062.0, 3327729.6757580596]"
Sel Score: 0.81 RTime: 1411.932,409.9519,4.0,0.00318247428417879,12ca5,"[9847597.83130504, 8005097.698618279, 7564717.01718464, 1176515.8447921257, 2459243.8566823537, 2278690.330843041]"
Sel Score: 0.81 RTime: 2107.819,411.7281,4.0,0.31232384829928334,Unclear,"[69051609.67622924, 9937565.173404908, 17929245.31166402, 10108946.232864106, 2662869.0628274055, 9864301.700028995]"
Sel Score: 0.81 RTime: 2468.029,418.7244,4.0,0.09370579268390601,Unclear,"[34105865.07348613, 31216605.082918163, 67615252.3614829, 15013627.651498433, 5453780.645440461, 10632350.002817947]"
Sel Score: 0.81 RTime: 3736.343,550.6187,3.0,0.08159575177394791,Unclear,"[14343129.228770636, 15429185.447657596, 6045274.344471592, 4219208.510245568, 2804521.609413339, 1361915.3136586954]"
Sel Score: 0.81 RTime: 1630.43,458.7505,2.0,0.13098062562305607,Unclear,"[10230800.83681599, 3894719.0412842063, 14110108.946268184, 3139467.93000309, 2489488.493550783, 987974.779097895]"
Sel Score: 0.81 RTime: 2486.122,504.6081,3.0,0.07464797983372268,Unclear,"[24138290.088119965, 12372234.235238971, 29617462.536014263, 6328003.678803514, 6071358.145105309, 3098987.180433768]"
Sel Score: 0.81 RTime: 2141.293,399.4661,2.0,0.005344180176436064,12ca5,"[15620948.05481157, 12706752.646433027, 17196349.44978329, 695950.1435614869, 6155320.911997865, 3830456.537498989]"
Sel Score: 0.81 RTime: 1114.888,407.9704,4.0,0.10043889818192621,Unclear,"[4946833.5769289145, 2859571.1580654434, 1921926.0415375677, 391998.1742645974, 1203387.6851766666, 687800.6970450499]"
Sel Score: 0.81 RTime: 2224.129,448.2347,4.0,0.4638558759465298,Unclear,"[12850159.701201975, 10094.0, 110209537.37838323, 14611697.073608441, 10428497.925229972, 4222797.11548673]"
