Compound,m/z,z,p value,specificity
"Sel Score: 0.95 RTime: 1450.672 Areas: [534666.2703173744, 219526.37862887597, 168073.5060096176, 177684.47659525753, 130806.09949967418, 271752.19170871907]",437.0035,2.0,0.015942291437849643,ACE2
"Sel Score: 0.95 RTime: 1102.599 Areas: [1441271.155549974, 278225.97080949857, 1058350.926504529, 698661.8091916592, 393285.03564639273, 149219.5658576908]",422.4621,4.0,0.012832278049840348,ACE2
"Sel Score: 0.95 RTime: 1749.543 Areas: [568966.1573860566, 1079439.2484150112, 272394.41542783973, 2424075.566730213, 1817986.945703361, 1093361.3707354723]",408.2535,4.0,0.029879086855602928,ACE2
"Sel Score: 0.95 RTime: 1647.991 Areas: [153382.5418989464, 176379.89295584298, 271207.86561284505, 311167.8191704259, 136128.8880099378, 263642.78519830585]",481.2592,3.0,0.02973145768390181,ACE2
"Sel Score: 0.95 RTime: 1177.063 Areas: [1448608.5714349034, 274175.79010616965, 679166.6789236309, 547124.338258158, 1039844.33790318, 246017.1230114014]",380.4614,4.0,0.09480723264814933,ACE2
"Sel Score: 0.95 RTime: 1594.954 Areas: [509020.07466857624, 432154.55899333523, 98595.66197439165, 140407.47485233826, 76992.09558765152, 297749.31392856204]",487.2651,3.0,0.021864021846548152,ACE2
"Sel Score: 0.95 RTime: 2411.799 Areas: [895801.5438968579, 369907.15444566787, 222236.33334734236, 839331.7083060489, 1165851.3938866802, 632890.2190394225]",396.2421,2.0,0.006951605086952692,ACE2
"Sel Score: 0.95 RTime: 3405.666 Areas: [516330.3265992692, 717555.804552924, 201668.1587755421, 2554846.600868569, 1975874.5634225577, 1257925.5414604694]",526.6161,3.0,0.0761446867415084,ACE2
"Sel Score: 0.95 RTime: 2145.686 Areas: [1130296.0321716785, 303614.4841363622, 374278.84428140917, 444950.7416755918, 156670.7714436687, 192027.38708960472]",329.9904,5.0,0.04828541749533112,ACE2
"Sel Score: 0.95 RTime: 2205.553 Areas: [968512.3776521605, 1280492.573674833, 431334.60128575884, 101581.00462212718, 101990.70088677254, 71441.60047080995]",380.9682,2.0,0.06608493200707907,ACE2
